,dtm,SS_Price_1week_ago,DA_Price_48h_ago,DA_Price_1week_ago,time,year,month,day,hour,hourCos,hourSin
56188,2023-12-04 10:00:00,,,120.88,2023-12-04 10:00:00,2023,12,4,10.0,-0.8660254037844387,0.49999999999999994
56189,2023-12-04 10:30:00,,,120.88,2023-12-04 10:30:00,2023,12,4,10.5,-0.9238795325112867,0.3826834323650899
56190,2023-12-04 11:00:00,,,119.11,2023-12-04 11:00:00,2023,12,4,11.0,-0.9659258262890682,0.258819045102521
56191,2023-12-04 11:30:00,,,119.11,2023-12-04 11:30:00,2023,12,4,11.5,-0.9914448613738104,0.130526192220052
56192,2023-12-04 12:00:00,,,115.45,2023-12-04 12:00:00,2023,12,4,12.0,-1.0,1.2246467991473532e-16
56193,2023-12-04 12:30:00,,,115.45,2023-12-04 12:30:00,2023,12,4,12.5,-0.9914448613738104,-0.13052619222005177
56194,2023-12-04 13:00:00,,,109.5,2023-12-04 13:00:00,2023,12,4,13.0,-0.9659258262890683,-0.2588190451025208
56195,2023-12-04 13:30:00,,,109.5,2023-12-04 13:30:00,2023,12,4,13.5,-0.9238795325112868,-0.38268343236508967
56196,2023-12-04 14:00:00,,,110.03,2023-12-04 14:00:00,2023,12,4,14.0,-0.8660254037844388,-0.4999999999999997
56197,2023-12-04 14:30:00,,,110.03,2023-12-04 14:30:00,2023,12,4,14.5,-0.7933533402912352,-0.6087614290087207
56198,2023-12-04 15:00:00,,,118.35,2023-12-04 15:00:00,2023,12,4,15.0,-0.7071067811865479,-0.7071067811865471
56199,2023-12-04 15:30:00,,,118.35,2023-12-04 15:30:00,2023,12,4,15.5,-0.6087614290087209,-0.7933533402912349
56200,2023-12-04 16:00:00,,,121.06,2023-12-04 16:00:00,2023,12,4,16.0,-0.5000000000000004,-0.8660254037844384
56201,2023-12-04 16:30:00,,,121.06,2023-12-04 16:30:00,2023,12,4,16.5,-0.3826834323650895,-0.9238795325112868
56202,2023-12-04 17:00:00,,,111.69,2023-12-04 17:00:00,2023,12,4,17.0,-0.25881904510252063,-0.9659258262890683
56203,2023-12-04 17:30:00,,,111.69,2023-12-04 17:30:00,2023,12,4,17.5,-0.13052619222005163,-0.9914448613738104
56204,2023-12-04 18:00:00,,,105.83,2023-12-04 18:00:00,2023,12,4,18.0,-1.8369701987210297e-16,-1.0
56205,2023-12-04 18:30:00,,,105.83,2023-12-04 18:30:00,2023,12,4,18.5,0.13052619222005127,-0.9914448613738105
56206,2023-12-04 19:00:00,,,95.38,2023-12-04 19:00:00,2023,12,4,19.0,0.2588190451025203,-0.9659258262890684
56207,2023-12-04 19:30:00,,,95.38,2023-12-04 19:30:00,2023,12,4,19.5,0.38268343236508917,-0.923879532511287
56208,2023-12-04 20:00:00,,,93.6,2023-12-04 20:00:00,2023,12,4,20.0,0.5000000000000001,-0.8660254037844386
56209,2023-12-04 20:30:00,,,93.6,2023-12-04 20:30:00,2023,12,4,20.5,0.6087614290087199,-0.7933533402912357
56210,2023-12-04 21:00:00,,,82.87,2023-12-04 21:00:00,2023,12,4,21.0,0.7071067811865474,-0.7071067811865477
56211,2023-12-04 21:30:00,,,82.87,2023-12-04 21:30:00,2023,12,4,21.5,0.7933533402912349,-0.6087614290087209
56212,2023-12-04 22:00:00,,,83.71,2023-12-04 22:00:00,2023,12,4,22.0,0.8660254037844384,-0.5000000000000004
56213,2023-12-04 22:30:00,,,83.71,2023-12-04 22:30:00,2023,12,4,22.5,0.9238795325112868,-0.38268343236508956
56214,2023-12-04 23:00:00,,,88.16,2023-12-04 23:00:00,2023,12,4,23.0,0.9659258262890681,-0.25881904510252157
56215,2023-12-04 23:30:00,,,88.16,2023-12-04 23:30:00,2023,12,4,23.5,0.9914448613738104,-0.13052619222005168
