dtm,SS_Price,DA_Price,ND,EMBEDDED_WIND_GENERATION,EMBEDDED_SOLAR_GENERATION
2020-09-21 02:00:00,46.5,36.95,19682,589,0
2020-09-21 02:30:00,28.85,36.95,19385,595,0
2020-09-21 03:00:00,43.29006,45.76,19253,587,0
2020-09-21 03:30:00,43.29006,45.76,19111,579,0
2020-09-21 04:00:00,54.22,52.1,19216,599,0
2020-09-21 04:30:00,20.5,52.1,19376,619,0
2020-09-21 05:00:00,2.0,75.86,20062,622,0
2020-09-21 05:30:00,15.0,75.86,21168,624,0
2020-09-21 06:00:00,15.0,67.43,23726,623,0
2020-09-21 06:30:00,25.0,67.43,25954,622,1
2020-09-21 07:00:00,69.0,61.06,28585,598,132
2020-09-21 07:30:00,46.4,61.06,30390,574,581
2020-09-21 08:00:00,22.5,62.37,31251,569,1190
2020-09-21 08:30:00,20.5,62.37,30940,563,1880
2020-09-21 09:00:00,20.5,58.85,31182,568,2600
2020-09-21 09:30:00,15.0,58.85,30551,573,3440
2020-09-21 10:00:00,20.5,51.96,29561,637,4400
2020-09-21 10:30:00,30.0,51.96,28875,701,5430
2020-09-21 11:00:00,15.0,49.09,27959,736,6400
2020-09-21 11:30:00,15.0,49.09,27363,770,7010
2020-09-21 12:00:00,20.5,46.81,27164,790,7400
2020-09-21 12:30:00,15.0,46.81,26858,809,7570
2020-09-21 13:00:00,15.0,49.98,26497,826,7490
2020-09-21 13:30:00,15.0,49.98,26206,843,7260
2020-09-21 14:00:00,15.0,60.79,26217,868,6930
2020-09-21 14:30:00,50.0,60.79,26249,893,6420
2020-09-21 15:00:00,26.0,84.93,26634,896,5770
2020-09-21 15:30:00,44.32,84.93,27553,899,4990
2020-09-21 16:00:00,20.5,187.1,28921,877,4150
2020-09-21 16:30:00,60.0,187.1,30328,854,3220
2020-09-21 17:00:00,20.5,124.0,32155,782,2290
2020-09-21 17:30:00,59.9,124.0,33069,709,1390
2020-09-21 18:00:00,27.0,66.0,33508,659,592
2020-09-21 18:30:00,69.0,66.0,33651,608,104
2020-09-21 19:00:00,24.36647,53.17,34260,577,3
2020-09-21 19:30:00,20.5,53.17,34402,546,1
2020-09-21 20:00:00,15.0,46.76,33452,528,0
2020-09-21 20:30:00,33.2,46.76,32236,510,0
2020-09-21 21:00:00,54.0,42.33,30617,502,0
2020-09-21 21:30:00,53.5,42.33,29063,493,0
2020-09-21 22:00:00,33.2,38.05,27325,500,0
2020-09-21 22:30:00,53.9,38.05,25608,506,0
2020-09-21 23:00:00,20.69884,37.1,23898,518,0
2020-09-21 23:30:00,30.0,37.1,22719,529,0
2020-09-22 00:00:00,49.5,35.9,21735,549,0
2020-09-22 00:30:00,49.0,35.9,21084,569,0
2020-09-22 01:00:00,47.25,35.9,20749,574,0
2020-09-22 01:30:00,30.0,35.9,20642,579,0
2020-09-22 02:00:00,20.5,37.06,20433,600,0
2020-09-22 02:30:00,0.6,37.06,20146,620,0
2020-09-22 03:00:00,0.6,38.03,19945,650,0
2020-09-22 03:30:00,0.0,38.03,19740,679,0
2020-09-22 04:00:00,0.0,48.02,19749,737,0
2020-09-22 04:30:00,2.0,48.02,19874,795,0
2020-09-22 05:00:00,30.0,65.6,20500,849,0
2020-09-22 05:30:00,60.0,65.6,21402,902,0
2020-09-22 06:00:00,58.75,57.0,23768,959,0
2020-09-22 06:30:00,58.75,57.0,25852,1015,1
2020-09-22 07:00:00,61.5,52.85,27631,1072,135
2020-09-22 07:30:00,26.12,52.85,28988,1128,645
2020-09-22 08:00:00,58.75,42.0,29908,1199,1370
2020-09-22 08:30:00,26.18,42.0,29665,1269,2150
2020-09-22 09:00:00,40.0,37.51,29445,1365,2930
2020-09-22 09:30:00,26.2,37.51,29010,1460,3750
2020-09-22 10:00:00,46.5,33.97,28416,1610,4450
2020-09-22 10:30:00,30.0,33.97,27894,1760,5050
2020-09-22 11:00:00,40.0,32.9,27512,1911,5450
2020-09-22 11:30:00,30.0,32.9,27676,2061,5870
2020-09-22 12:00:00,30.0,31.95,27880,2181,5890
2020-09-22 12:30:00,40.0,31.95,27940,2301,5700
2020-09-22 13:00:00,26.63,32.0,27786,2363,5220
2020-09-22 13:30:00,44.6,32.0,27616,2424,4820
2020-09-22 14:00:00,57.85013,37.59,27832,2496,4300
2020-09-22 14:30:00,61.2,37.59,28002,2568,3780
2020-09-22 15:00:00,65.89,54.77,28394,2595,3110
2020-09-22 15:30:00,70.2,54.77,29291,2621,2330
2020-09-22 16:00:00,72.2,60.0,30324,2582,1810
2020-09-22 16:30:00,69.45,60.0,31251,2542,1210
2020-09-22 17:00:00,67.2,62.0,32377,2483,725
2020-09-22 17:30:00,28.0,62.0,32911,2423,378
2020-09-22 18:00:00,58.69,49.79,33087,2322,113
2020-09-22 18:30:00,26.83,49.79,33185,2221,13
2020-09-22 19:00:00,26.81,41.57,33847,2149,1
2020-09-22 19:30:00,26.87,41.57,33508,2077,1
2020-09-22 20:00:00,30.0,37.54,32281,1999,0
2020-09-22 20:30:00,27.0,37.54,30926,1920,0
2020-09-22 21:00:00,54.9,36.56,29592,1842,0
2020-09-22 21:30:00,54.9,36.56,27963,1763,0
2020-09-22 22:00:00,41.75,35.86,26460,1693,0
2020-09-22 22:30:00,44.5,35.86,25077,1622,0
2020-09-22 23:00:00,44.5,34.77,23327,1550,0
2020-09-22 23:30:00,44.35,34.77,21859,1477,0
2020-09-23 00:00:00,49.45,33.7,21081,1371,0
2020-09-23 00:30:00,49.45,33.7,20384,1265,0
2020-09-23 01:00:00,49.4,32.63,20008,1217,0
2020-09-23 01:30:00,45.0,32.63,19982,1168,0
2020-09-23 02:00:00,30.0,35.22,20040,1107,0
2020-09-23 02:30:00,48.9,35.22,19727,1046,0
2020-09-23 03:00:00,48.9,39.85,19523,985,0
2020-09-23 03:30:00,48.9,39.85,19592,923,0
2020-09-23 04:00:00,53.89933,47.61,19823,884,0
2020-09-23 04:30:00,54.45,47.61,20131,845,0
2020-09-23 05:00:00,54.45,52.18,20539,827,0
2020-09-23 05:30:00,49.0,52.18,21694,808,0
2020-09-23 06:00:00,21.5,54.4,23936,807,0
2020-09-23 06:30:00,26.57,54.4,26264,806,0
2020-09-23 07:00:00,26.57,52.73,28969,782,40
2020-09-23 07:30:00,30.0,52.73,30615,758,188
2020-09-23 08:00:00,62.0,54.13,31767,773,392
2020-09-23 08:30:00,62.0,54.13,32136,787,637
2020-09-23 09:00:00,62.0,50.36,32628,830,998
2020-09-23 09:30:00,62.0,50.36,32276,872,1220
2020-09-23 10:00:00,60.0,54.0,32085,880,1490
2020-09-23 10:30:00,60.0,54.0,31858,888,1710
2020-09-23 11:00:00,69.95,52.0,32000,900,2140
2020-09-23 11:30:00,68.89,52.0,31876,912,2260
2020-09-23 12:00:00,68.89,47.51,31896,905,2360
2020-09-23 12:30:00,27.27,47.51,31719,898,2290
2020-09-23 13:00:00,27.2,46.0,31454,921,2480
2020-09-23 13:30:00,21.33,46.0,30996,943,2590
2020-09-23 14:00:00,20.5,54.99,30924,959,2340
2020-09-23 14:30:00,83.5,54.99,30835,975,2560
2020-09-23 15:00:00,40.5,70.6,31018,987,2140
2020-09-23 15:30:00,50.5,70.6,31756,999,1580
2020-09-23 16:00:00,40.5,75.32,32525,949,1140
2020-09-23 16:30:00,40.5,75.32,33532,898,929
2020-09-23 17:00:00,83.5,74.96,34242,866,527
2020-09-23 17:30:00,78.5,74.96,34820,834,334
2020-09-23 18:00:00,40.0,52.1,34963,821,139
2020-09-23 18:30:00,27.55,52.1,34589,808,20
2020-09-23 19:00:00,27.57,41.52,34876,808,1
2020-09-23 19:30:00,20.0,41.52,34954,808,0
2020-09-23 20:00:00,57.0,37.42,34105,802,0
2020-09-23 20:30:00,27.57,37.42,32710,795,0
2020-09-23 21:00:00,26.7,39.09,30936,802,0
2020-09-23 21:30:00,50.0,39.09,29308,809,0
2020-09-23 22:00:00,49.95,34.98,27632,813,0
2020-09-23 22:30:00,49.65,34.98,25820,817,0
2020-09-23 23:00:00,48.0,33.02,24289,840,0
2020-09-23 23:30:00,32.2,33.02,22808,862,0
2020-09-24 00:00:00,26.0,29.27,21726,893,0
2020-09-24 00:30:00,26.0,29.27,21059,924,0
2020-09-24 01:00:00,22.0,26.98,20640,946,0
2020-09-24 01:30:00,22.0,26.98,20533,967,0
2020-09-24 02:00:00,10.39,31.41,20296,995,0
2020-09-24 02:30:00,10.39,31.41,19932,1022,0
2020-09-24 03:00:00,30.0,39.73,19728,1056,0
2020-09-24 03:30:00,48.65,39.73,19517,1089,0
2020-09-24 04:00:00,48.59,48.09,19599,1072,0
2020-09-24 04:30:00,49.5,48.09,19754,1054,0
2020-09-24 05:00:00,49.5,48.58,20187,1079,0
2020-09-24 05:30:00,53.0,48.58,21444,1103,0
2020-09-24 06:00:00,60.0,49.88,23937,1159,0
2020-09-24 06:30:00,58.5,49.88,26383,1215,0
2020-09-24 07:00:00,58.5,47.23,28825,1246,36
2020-09-24 07:30:00,65.0,47.23,30201,1277,343
2020-09-24 08:00:00,64.5,44.56,30875,1328,1070
2020-09-24 08:30:00,25.0,44.56,30712,1378,1920
2020-09-24 09:00:00,20.5,43.37,30478,1457,2970
2020-09-24 09:30:00,20.5,43.37,30058,1536,3580
2020-09-24 10:00:00,58.95,37.84,29445,1560,4230
2020-09-24 10:30:00,64.5,37.84,29153,1583,4690
2020-09-24 11:00:00,58.95,35.52,28745,1609,4950
2020-09-24 11:30:00,53.0,35.52,28640,1634,5140
2020-09-24 12:00:00,68.0,35.41,29264,1643,5070
2020-09-24 12:30:00,54.0,35.41,29525,1651,4250
2020-09-24 13:00:00,58.5,37.77,29339,1598,4480
2020-09-24 13:30:00,58.5,37.77,29049,1545,4170
2020-09-24 14:00:00,56.71,44.11,28815,1481,3750
2020-09-24 14:30:00,67.71,44.11,28685,1416,3480
2020-09-24 15:00:00,76.71,50.88,29148,1351,2860
2020-09-24 15:30:00,72.56,50.88,30663,1285,2520
2020-09-24 16:00:00,70.65072,63.74,31726,1171,2190
2020-09-24 16:30:00,75.56,63.74,32724,1056,1560
2020-09-24 17:00:00,82.71,69.15,33948,1001,979
2020-09-24 17:30:00,87.71,69.15,34417,945,627
2020-09-24 18:00:00,88.0,51.19,34519,925,230
2020-09-24 18:30:00,85.0,51.19,34689,905,29
2020-09-24 19:00:00,75.0,40.0,35277,891,2
2020-09-24 19:30:00,30.11,40.0,34932,877,1
2020-09-24 20:00:00,56.0,33.1,33838,904,0
2020-09-24 20:30:00,56.0,33.1,32754,931,0
2020-09-24 21:00:00,55.0,47.08,31448,977,0
2020-09-24 21:30:00,51.0,47.08,29530,1023,0
2020-09-24 22:00:00,50.95,49.7,27594,1064,0
2020-09-24 22:30:00,53.0,49.7,25602,1104,0
2020-09-24 23:00:00,52.0,43.06,23843,1154,0
2020-09-24 23:30:00,26.66,43.06,22336,1203,0
2020-09-25 00:00:00,2.0,33.97,21123,1236,0
2020-09-25 00:30:00,2.0,33.97,20469,1268,0
2020-09-25 01:00:00,2.0,26.49,20071,1365,0
2020-09-25 01:30:00,2.0,26.49,19764,1462,0
2020-09-25 02:00:00,23.49,28.2,19542,1571,0
2020-09-25 02:30:00,23.49,28.2,19125,1680,0
2020-09-25 03:00:00,2.0,39.11,18757,1773,0
2020-09-25 03:30:00,0.5,39.11,18549,1866,0
2020-09-25 04:00:00,0.0,48.65,18353,1928,0
2020-09-25 04:30:00,1.5,48.65,18384,1989,0
2020-09-25 05:00:00,5.0,54.0,18832,2117,0
2020-09-25 05:30:00,20.5,54.0,19698,2244,0
2020-09-25 06:00:00,20.5,54.6,21935,2312,0
2020-09-25 06:30:00,60.0,54.6,24201,2380,0
2020-09-25 07:00:00,62.0,53.32,26964,2467,20
2020-09-25 07:30:00,25.0,53.32,28728,2553,279
2020-09-25 08:00:00,65.0,45.57,29589,2658,887
2020-09-25 08:30:00,26.67892,45.57,29648,2763,1650
2020-09-25 09:00:00,57.88,46.0,29464,2921,2390
2020-09-25 09:30:00,57.88,46.0,28632,3078,3300
2020-09-25 10:00:00,57.88,38.48,27755,3227,4030
2020-09-25 10:30:00,57.88,38.48,27240,3376,4520
2020-09-25 11:00:00,51.9,33.51,26997,3464,4950
2020-09-25 11:30:00,51.5,33.51,26793,3552,5040
2020-09-25 12:00:00,63.9,32.26,27020,3597,5040
2020-09-25 12:30:00,50.96,32.26,26726,3641,5130
2020-09-25 13:00:00,17.08,29.91,26196,3668,5170
2020-09-25 13:30:00,0.55,29.91,25606,3694,5330
2020-09-25 14:00:00,0.55,42.0,25359,3693,5280
2020-09-25 14:30:00,18.01,42.0,24954,3691,4860
2020-09-25 15:00:00,50.25,47.13,24952,3668,4650
2020-09-25 15:30:00,61.5,47.13,25561,3644,3780
2020-09-25 16:00:00,9.15,59.39,26288,3562,3080
2020-09-25 16:30:00,63.0,59.39,27641,3479,2510
2020-09-25 17:00:00,63.0,62.91,29051,3362,1870
2020-09-25 17:30:00,63.0,62.91,29904,3245,1050
2020-09-25 18:00:00,63.0,54.0,30580,3156,373
2020-09-25 18:30:00,63.0,54.0,31112,3067,36
2020-09-25 19:00:00,63.0,42.97,31832,3013,2
2020-09-25 19:30:00,63.0,42.97,31481,2958,1
2020-09-25 20:00:00,63.0,33.14,30184,2893,0
2020-09-25 20:30:00,63.0,33.14,29158,2827,0
2020-09-25 21:00:00,58.75,31.8,28046,2779,0
2020-09-25 21:30:00,54.75,31.8,26461,2730,0
2020-09-25 22:00:00,54.75,28.71,25123,2697,0
2020-09-25 22:30:00,54.0,28.71,23818,2664,0
2020-09-25 23:00:00,50.5,26.2,22377,2643,0
2020-09-25 23:30:00,50.5,26.2,21083,2621,0
2020-09-26 00:00:00,52.0,23.23,20065,2515,0
2020-09-26 00:30:00,52.0,23.23,19470,2408,0
2020-09-26 01:00:00,52.0,20.57,19126,2411,0
2020-09-26 01:30:00,50.5,20.57,19102,2413,0
2020-09-26 02:00:00,27.05,22.3,18867,2404,0
2020-09-26 02:30:00,17.32,22.3,18641,2395,0
2020-09-26 03:00:00,27.82,25.82,18403,2381,0
2020-09-26 03:30:00,10.5,25.82,18160,2367,0
2020-09-26 04:00:00,1.5,28.92,18128,2321,0
2020-09-26 04:30:00,2.0,28.92,18206,2275,0
2020-09-26 05:00:00,14.26,34.33,18503,2284,0
2020-09-26 05:30:00,20.97,34.33,19020,2293,0
2020-09-26 06:00:00,29.89,38.8,20340,2296,0
2020-09-26 06:30:00,52.5,38.8,21333,2298,0
2020-09-26 07:00:00,35.37,37.09,22609,2309,79
2020-09-26 07:30:00,53.95,37.09,23871,2320,578
2020-09-26 08:00:00,54.25,35.89,25043,2361,1330
2020-09-26 08:30:00,53.95,35.89,25252,2401,2180
2020-09-26 09:00:00,53.95,32.0,25336,2521,3020
2020-09-26 09:30:00,32.06,32.0,24904,2640,3840
2020-09-26 10:00:00,37.82,30.15,24442,2722,4470
2020-09-26 10:30:00,53.25,30.15,24025,2804,5070
2020-09-26 11:00:00,53.9,27.21,23852,2845,5170
2020-09-26 11:30:00,52.85,27.21,23842,2886,5130
2020-09-26 12:00:00,52.85,26.11,24021,2906,5060
2020-09-26 12:30:00,53.95,26.11,24016,2925,5100
2020-09-26 13:00:00,53.95,27.29,23844,2936,4630
2020-09-26 13:30:00,53.95,27.29,23699,2947,4590
2020-09-26 14:00:00,53.95,31.96,23413,2933,4080
2020-09-26 14:30:00,54.2,31.96,23423,2919,3720
2020-09-26 15:00:00,29.04,44.47,23956,2914,3180
2020-09-26 15:30:00,54.2,44.47,24559,2908,2640
2020-09-26 16:00:00,53.95,58.5,25629,2821,2280
2020-09-26 16:30:00,60.0,58.5,26933,2733,1860
2020-09-26 17:00:00,60.0,59.96,28713,2626,1270
2020-09-26 17:30:00,61.5,59.96,29866,2518,753
2020-09-26 18:00:00,61.5,51.04,30340,2417,253
2020-09-26 18:30:00,60.0,51.04,30748,2316,25
2020-09-26 19:00:00,58.5,44.94,31100,2288,0
2020-09-26 19:30:00,28.04,44.94,30763,2260,0
2020-09-26 20:00:00,23.4,38.0,29806,2206,0
2020-09-26 20:30:00,25.02,38.0,28679,2151,0
2020-09-26 21:00:00,54.0,35.13,27628,2117,0
2020-09-26 21:30:00,29.04,35.13,26471,2083,0
2020-09-26 22:00:00,52.5,18.77,25020,2059,0
2020-09-26 22:30:00,21.57,18.77,23520,2035,0
2020-09-26 23:00:00,14.76,16.95,22203,1993,0
2020-09-26 23:30:00,14.29,16.95,20960,1950,0
2020-09-27 00:00:00,12.6704,13.69,19981,1887,0
2020-09-27 00:30:00,12.26,13.69,19350,1824,0
2020-09-27 01:00:00,6.65,11.31,19086,1839,0
2020-09-27 01:30:00,5.89,11.31,19119,1854,0
2020-09-27 02:00:00,5.66,13.56,19006,1846,0
2020-09-27 02:30:00,5.66,13.56,18573,1837,0
2020-09-27 03:00:00,8.47,16.83,18232,1828,0
2020-09-27 03:30:00,8.91,16.83,17898,1818,0
2020-09-27 04:00:00,11.77,24.96,17819,1762,0
2020-09-27 04:30:00,11.89,24.96,17782,1706,0
2020-09-27 05:00:00,16.32,25.55,18073,1671,0
2020-09-27 05:30:00,16.37,25.55,18304,1635,0
2020-09-27 06:00:00,50.3,37.0,19277,1570,0
2020-09-27 06:30:00,50.3,37.0,19943,1505,0
2020-09-27 07:00:00,52.0,41.59,21102,1463,15
2020-09-27 07:30:00,53.0,41.59,22245,1421,304
2020-09-27 08:00:00,28.02,47.0,23596,1433,912
2020-09-27 08:30:00,39.93,47.0,24407,1445,1590
2020-09-27 09:00:00,29.83,40.04,25140,1482,2330
2020-09-27 09:30:00,28.89,40.04,25464,1518,2960
2020-09-27 10:00:00,31.24,46.0,25709,1523,3500
2020-09-27 10:30:00,30.3,46.0,25581,1527,4120
2020-09-27 11:00:00,35.34,39.2,25666,1492,4690
2020-09-27 11:30:00,35.1,39.2,25760,1457,4980
2020-09-27 12:00:00,55.0,34.07,26218,1419,5320
2020-09-27 12:30:00,50.25,34.07,26224,1381,5540
2020-09-27 13:00:00,55.0,32.03,25947,1348,5420
2020-09-27 13:30:00,27.78,32.03,25660,1314,5000
2020-09-27 14:00:00,39.0,38.0,25728,1291,4780
2020-09-27 14:30:00,27.88,38.0,25641,1267,4390
2020-09-27 15:00:00,26.7,52.0,26211,1243,3960
2020-09-27 15:30:00,56.0,52.0,26886,1219,3600
2020-09-27 16:00:00,55.0,59.97,28203,1176,3130
2020-09-27 16:30:00,61.25,59.97,29801,1133,2450
2020-09-27 17:00:00,61.25,62.39,31319,1056,1620
2020-09-27 17:30:00,61.25,62.39,32248,979,924
2020-09-27 18:00:00,61.25,50.0,32751,939,290
2020-09-27 18:30:00,61.25,50.0,33252,899,26
2020-09-27 19:00:00,61.0,41.23,33767,870,0
2020-09-27 19:30:00,12.3,41.23,33442,840,3
2020-09-27 20:00:00,55.0,36.65,32567,814,0
2020-09-27 20:30:00,26.75,36.65,31282,787,0
2020-09-27 21:00:00,35.81,31.38,30025,778,0
2020-09-27 21:30:00,35.81,31.38,28476,769,0
2020-09-27 22:00:00,29.29,28.85,27029,773,0
2020-09-27 22:30:00,27.69,28.85,25392,776,0
2020-09-27 23:00:00,50.5,27.61,23806,780,0
2020-09-27 23:30:00,50.25,27.61,22534,784,0
2020-09-28 00:00:00,50.5,26.77,21558,803,0
2020-09-28 00:30:00,50.25,26.77,21045,822,0
2020-09-28 01:00:00,32.39,26.88,20929,837,0
2020-09-28 01:30:00,24.49,26.88,21030,851,0
2020-09-28 02:00:00,12.3,28.9,21034,871,0
2020-09-28 02:30:00,12.3,28.9,20797,890,0
2020-09-28 03:00:00,12.3,42.0,20563,896,0
2020-09-28 03:30:00,50.0,42.0,20451,902,0
2020-09-28 04:00:00,50.88,49.66,20438,943,0
2020-09-28 04:30:00,49.32,49.66,20610,984,0
2020-09-28 05:00:00,57.75,52.95,21386,989,0
2020-09-28 05:30:00,58.44,52.95,22539,994,0
2020-09-28 06:00:00,60.5,50.48,25248,1016,0
2020-09-28 06:30:00,62.65,50.48,27677,1038,0
2020-09-28 07:00:00,64.0,48.0,30481,1007,62
2020-09-28 07:30:00,64.0,48.0,32264,976,383
2020-09-28 08:00:00,60.5,46.18,33164,989,833
2020-09-28 08:30:00,60.5,46.18,33127,1001,1290
2020-09-28 09:00:00,63.8,43.9,33327,1009,2090
2020-09-28 09:30:00,63.8,43.9,33135,1017,2590
2020-09-28 10:00:00,60.5,42.98,32759,1035,3180
2020-09-28 10:30:00,60.5,42.98,32396,1052,3720
2020-09-28 11:00:00,60.5,41.07,32167,1049,3860
2020-09-28 11:30:00,60.5,41.07,31936,1045,3850
2020-09-28 12:00:00,67.5,42.0,32036,1035,4290
2020-09-28 12:30:00,60.5,42.0,31896,1024,4310
2020-09-28 13:00:00,60.5,43.27,31542,1007,4210
2020-09-28 13:30:00,63.7439,43.27,31198,989,4310
2020-09-28 14:00:00,74.74,49.52,30860,975,3780
2020-09-28 14:30:00,78.0901,49.52,30828,960,3490
2020-09-28 15:00:00,86.14,57.62,30984,939,3140
2020-09-28 15:30:00,91.05,57.62,31674,918,2570
2020-09-28 16:00:00,118.26703,75.42,33101,884,2010
2020-09-28 16:30:00,118.34,75.42,34285,850,1160
2020-09-28 17:00:00,88.33,67.5,35656,824,641
2020-09-28 17:30:00,50.0,67.5,36072,797,365
2020-09-28 18:00:00,79.5,49.23,36434,776,105
2020-09-28 18:30:00,35.0,49.23,36639,755,4
2020-09-28 19:00:00,35.0,43.19,37185,719,1
2020-09-28 19:30:00,72.52875,43.19,36374,683,1
2020-09-28 20:00:00,64.0,37.44,34812,661,0
2020-09-28 20:30:00,50.5,37.44,33610,639,0
2020-09-28 21:00:00,68.99,37.54,32015,623,0
2020-09-28 21:30:00,65.0,37.54,30148,606,0
2020-09-28 22:00:00,63.0,36.1,28295,592,0
2020-09-28 22:30:00,59.95,36.1,26455,578,0
2020-09-28 23:00:00,55.0,34.37,24729,566,0
2020-09-28 23:30:00,55.0,34.37,23442,553,0
2020-09-29 00:00:00,52.0,32.54,22480,521,0
2020-09-29 00:30:00,54.75,32.54,21921,488,0
2020-09-29 01:00:00,52.0,34.12,21749,461,0
2020-09-29 01:30:00,52.0,34.12,21874,433,0
2020-09-29 02:00:00,52.0,36.71,21711,413,0
2020-09-29 02:30:00,30.98,36.71,21440,393,0
2020-09-29 03:00:00,52.0,45.71,21115,371,0
2020-09-29 03:30:00,28.2,45.71,21043,348,0
2020-09-29 04:00:00,61.4,60.15,21012,334,0
2020-09-29 04:30:00,64.84,60.15,21258,319,0
2020-09-29 05:00:00,68.44,78.63,21748,313,0
2020-09-29 05:30:00,71.22,78.63,22845,306,0
2020-09-29 06:00:00,86.48,70.6,25223,295,0
2020-09-29 06:30:00,110.81,70.6,27479,283,0
2020-09-29 07:00:00,101.68,64.91,30121,269,14
2020-09-29 07:30:00,101.37,64.91,31875,255,236
2020-09-29 08:00:00,139.7,62.3,32714,257,698
2020-09-29 08:30:00,108.4,62.3,32559,258,1180
2020-09-29 09:00:00,108.4,55.15,32547,258,1640
2020-09-29 09:30:00,40.0,55.15,32115,258,2190
2020-09-29 10:00:00,139.7,50.4,31639,267,2710
2020-09-29 10:30:00,40.0,50.4,31479,276,3180
2020-09-29 11:00:00,40.15,48.52,31179,289,3710
2020-09-29 11:30:00,40.0,48.52,30707,301,4010
2020-09-29 12:00:00,30.0,49.22,30672,321,4540
2020-09-29 12:30:00,30.0,49.22,30668,340,4900
2020-09-29 13:00:00,30.0,52.89,30375,356,4920
2020-09-29 13:30:00,30.0,52.89,29878,372,4930
2020-09-29 14:00:00,30.0,57.99,29711,401,4770
2020-09-29 14:30:00,91.26,57.99,29662,430,4240
2020-09-29 15:00:00,31.5,68.92,29801,453,3470
2020-09-29 15:30:00,31.5,68.92,30538,475,3080
2020-09-29 16:00:00,31.65,120.0,31555,483,2540
2020-09-29 16:30:00,35.05,120.0,32885,490,1920
2020-09-29 17:00:00,35.68,71.55,34225,489,1290
2020-09-29 17:30:00,35.68,71.55,34856,488,625
2020-09-29 18:00:00,99.5,53.78,35500,525,130
2020-09-29 18:30:00,37.5,53.78,35968,561,7
2020-09-29 19:00:00,32.39,47.9,36505,612,2
2020-09-29 19:30:00,32.4,47.9,35670,663,1
2020-09-29 20:00:00,32.4,41.43,34378,726,0
2020-09-29 20:30:00,32.4,41.43,33221,788,0
2020-09-29 21:00:00,32.47,47.13,31355,849,0
2020-09-29 21:30:00,32.4,47.13,29601,910,0
2020-09-29 22:00:00,32.0,40.25,27844,994,0
2020-09-29 22:30:00,55.0,40.25,25834,1078,0
2020-09-29 23:00:00,56.0,38.83,23975,1156,0
2020-09-29 23:30:00,37.5,38.83,22754,1234,0
